,monto_original,saldo_capital,Cliente,ultima_gestion,cartera,tipo_cartera,descripcion_reaccion,tipo_trabajo,genero,ubicacion_electoral,salario_inferior,salario_superior,edad,Recuperable,year_ultimo_pago
178949,8602.91,8602.91,189850,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,1950.0,1982.5,55,Si,2021
178963,524.18,524.18,189865,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,227.5,260.0,56,Si,2021
178990,669.66,669.66,189893,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,ALAJUELA,97.5,130.0,34,Si,2021
179003,705.64,705.64,189906,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,PUNTARENAS,195.0,227.5,30,Si,2021
179006,705.06,705.06,189909,2021,CITI,Propia,Incumplimiento de Pago Confirmado,PRIVADO,FEM,SAN JOSE,455.0,487.5,48,Si,0
179007,568.84,470.83,189910,2021,SCOTIABANK,Propia,Incumplimiento de Pago Confirmado,PRIVADO,MASC,CARTAGO,227.5,260.0,41,Si,2019
179011,5224.23,3500.8,189914,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,845.0,877.5,36,Si,2021
179032,711.17,270.39,189936,2021,CITI,Propia,Firma finiquito,PRIVADO,FEM,HEREDIA,195.0,227.5,32,Si,2020
179045,203.51,203.51,189949,2021,A-PROMERICA,Propia,Firma finiquito,PRIVADO,MASC,SAN JOSE,97.5,130.0,32,Si,0
179058,2317.12,2317.12,189962,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,MASC,HEREDIA,357.5,390.0,53,Si,2021
179092,1575.51,1575.51,189997,2021,SCOTIABANK,Propia,Promesa de Pago Confirmada,PROPIO,MASC,ALAJUELA,357.5,390.0,55,Si,0
179096,2027.96,2027.96,190001,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,ALAJUELA,520.0,552.5,42,Si,2021
179110,3036.53,3036.53,190016,2021,DAVIVIENDA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,585.0,617.5,24,Si,2021
179113,2981.84,2981.84,190019,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,FEM,CARTAGO,650.0,682.5,57,Si,2021
179119,429.28,288.52,190025,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,SAN JOSE,292.5,325.0,30,Si,2021
179120,1171.85,1169.67,190027,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,ALAJUELA,390.0,422.5,47,Si,2019
179129,580.76,567.71,190036,2021,SERVIVALORES,Propia,Contacto Indirecto (Corporativo),PRIVADO,FEM,CARTAGO,715.0,747.5,40,Si,2014
179146,1520.85,1520.85,190054,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,ALAJUELA,910.0,942.5,36,Si,2021
179174,1585.76,1585.76,190082,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,PUNTARENAS,487.5,520.0,49,Si,2021
179207,548.72,548.72,190115,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,PUNTARENAS,455.0,487.5,33,Si,2021
179260,7.28,0.66,190170,2021,MB CREDITOS,Propia,Vehículo Capturado,PRIVADO,MASC,CARTAGO,260.0,292.5,37,Si,2021
179320,2750.95,2750.95,190233,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,520.0,552.5,32,Si,0
179321,1344.11,1344.11,190234,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,HEREDIA,260.0,292.5,28,Si,0
179322,735.42,735.42,190235,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PROPIO,MASC,CARTAGO,390.0,422.5,60,Si,2021
179351,2825.14,2369.77,190264,2021,A-PROMERICA,Propia,Contacto indirecto,PRIVADO,FEM,ALAJUELA,325.0,357.5,40,Si,2020
179428,1702.27,1246.89,190346,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,130.0,162.5,42,Si,2021
179431,1006.08,1006.08,190349,2021,A-PROMERICA,Propia,Embargo aplicado,PUBLICO,FEM,ALAJUELA,1170.0,1202.5,56,Si,2014
179432,703.17,459.12,190350,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PROPIO,MASC,HEREDIA,292.5,325.0,60,Si,2021
179447,196.2,196.2,190365,2021,CREDIX,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,HEREDIA,585.0,617.5,32,Si,2021
179449,1377.24,1365.08,190367,2015,Legal,Propia,Traslado de cuenta (Distribución),PROPIO,MASC,SAN JOSE,325.0,357.5,55,Si,2012
179463,985.39,985.39,190382,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,CARTAGO,97.5,130.0,35,Si,2021
179485,1574.19,1574.19,190405,2021,A-PROMERICA,Propia,Incumplimiento de Pago Confirmado,PUBLICO,FEM,CARTAGO,227.5,260.0,58,Si,2021
179488,5173.1,5173.1,190408,2021,DAVIVIENDA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,SAN JOSE,487.5,520.0,41,Si,2021
179489,4579.44,4579.44,190409,2021,CITI,Propia,Promesa de Pago,PUBLICO,MASC,CARTAGO,975.0,1007.5,57,Si,2021
179496,753.26,328.1,190416,2020,A-PROMERICA,Propia,Firma finiquito,PUBLICO,MASC,SAN JOSE,260.0,292.5,41,Si,2019
179497,1984.83,501.12,190417,2018,A-PROMERICA,Propia,Firma finiquito,PRIVADO,FEM,SAN JOSE,455.0,487.5,42,Si,2016
179498,1713.99,356.11,190418,2020,A-PROMERICA,Propia,Firma finiquito,PUBLICO,MASC,CARTAGO,975.0,1007.5,57,Si,2021
179503,636.27,636.27,190423,2021,A-PROMERICA,Propia,Contacto indirecto,PRIVADO,MASC,HEREDIA,130.0,162.5,40,Si,0
179513,1082.89,681.28,190433,2021,CITI,Propia,Promesa de Pago,PROPIO,MASC,GUANACASTE,292.5,325.0,69,Si,2021
179525,4325.85,4325.85,190445,2021,A-PROMERICA,Propia,Incumplimiento de Pago Confirmado,PRIVADO,MASC,SAN JOSE,780.0,812.5,32,Si,0
179526,2982.64,1588.91,190446,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,487.5,520.0,34,Si,2021
179533,845.03,845.03,190453,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,MASC,SAN JOSE,487.5,520.0,30,Si,2018
179587,612.13,612.13,190510,2021,CITI,Propia,Promesa de Pago Confirmada,PROPIO,FEM,ALAJUELA,325.0,357.5,37,Si,2021
179596,1047.98,991.02,190519,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,227.5,260.0,35,Si,2021
179612,1066.68,1066.68,190538,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,MASC,HEREDIA,422.5,455.0,31,Si,0
179615,3087.28,3087.28,190541,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,SAN JOSE,195.0,227.5,27,Si,0
179633,3475.97,3475.97,190560,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,FEM,SAN JOSE,975.0,1007.5,53,Si,2021
179634,1511.7,1511.7,190561,2021,CREDIX,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,1007.5,1040.0,35,Si,2021
179645,1478.07,1478.07,190572,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,292.5,325.0,34,Si,2021
179646,1530.14,1399.92,190573,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,GUANACASTE,260.0,292.5,37,Si,2021
179648,1189.37,1189.37,190575,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,422.5,455.0,26,Si,2021
179652,854.86,854.86,190579,2021,SCOTIABANK,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,ALAJUELA,487.5,520.0,56,Si,2021
179658,924.97,924.97,190585,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,CARTAGO,195.0,227.5,26,Si,2021
179672,564.76,564.76,190599,2018,A-PROMERICA,Propia,Firma finiquito,PRIVADO,MASC,SAN JOSE,585.0,617.5,33,Si,2018
179674,3652.35,3652.35,190601,2021,A-PROMERICA,Propia,Embargo aplicado,PROPIO,FEM,CARTAGO,227.5,260.0,47,Si,2013
179681,1443.82,1443.82,190608,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,HEREDIA,390.0,422.5,32,Si,2021
179688,4415.57,4415.57,190617,2021,A-PROMERICA,Propia,Embargo aplicado,PRIVADO,MASC,HEREDIA,195.0,227.5,42,Si,0
179701,639.17,639.17,190631,2021,CITI,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,LIMON,455.0,487.5,30,Si,0
179707,2116.95,2116.95,190637,2018,A-PROMERICA,Propia,Firma finiquito,PRIVADO,FEM,SAN JOSE,455.0,487.5,49,Si,0
179710,1316.36,1316.36,190640,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,162.5,195.0,39,Si,2021
179719,1095.95,1095.95,190649,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,ALAJUELA,487.5,520.0,29,Si,0
179736,6028.61,6001.07,190666,2021,CITI,Propia,Incumplimiento de Pago Sin Confirmar,PROPIO,FEM,ALAJUELA,390.0,422.5,68,Si,2021
179748,1608.98,1608.98,190678,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,CARTAGO,227.5,260.0,29,Si,2021
179790,2829.04,2829.04,190720,2021,CITI,Propia,Incumplimiento de Pago Sin Confirmar,PROPIO,FEM,CARTAGO,325.0,357.5,57,Si,0
179820,1543.07,1543.07,190753,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,455.0,487.5,30,Si,2021
179836,1026.55,1026.55,190769,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,CARTAGO,552.5,585.0,35,Si,0
179844,1279.24,1279.24,190777,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,617.5,650.0,31,Si,2021
179870,655.49,40.13,190803,2020,CITI,Propia,Firma finiquito,PRIVADO,MASC,SAN JOSE,1202.5,1235.0,38,Si,2017
179879,5339.87,5339.87,190812,2021,B-HSBC,Propia,Promesa de Pago,PUBLICO,MASC,CARTAGO,1105.0,1137.5,56,Si,2021
179886,2707.85,2707.85,190819,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,CARTAGO,65.0,97.5,43,Si,0
179897,2164.82,2164.82,190831,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,260.0,292.5,65,Si,2021
179916,439.76,32.17,190850,2020,A-PROMERICA,Propia,Firma finiquito,PUBLICO,MASC,SAN JOSE,1300.0,1332.5,46,Si,2019
179956,861.96,861.96,190890,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,FEM,ALAJUELA,65.0,97.5,33,Si,0
179957,2093.18,102.51,190891,2021,A-PROMERICA,Propia,Firma finiquito,PUBLICO,MASC,SAN JOSE,32.5,65.0,42,Si,2020
179968,1573.68,1573.68,190903,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,65.0,97.5,25,Si,2021
179969,813.45,813.45,190904,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,32.5,65.0,54,Si,2021
179980,1627.37,1627.37,190915,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,422.5,455.0,31,Si,2021
179995,840.83,840.83,190930,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,MASC,CARTAGO,325.0,357.5,31,Si,0
180014,818.16,818.16,190950,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PROPIO,MASC,LIMON,390.0,422.5,39,Si,0
180015,717.01,717.01,190951,2021,A-PROMERICA,Propia,Embargo aplicado,PRIVADO,MASC,SAN JOSE,357.5,390.0,35,Si,0
180034,308.58,281.26,190970,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,325.0,357.5,55,Si,2021
180043,2275.48,2275.48,190979,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PROPIO,MASC,GUANACASTE,292.5,325.0,48,Si,2021
180152,1255.53,1255.53,191091,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,650.0,682.5,37,Si,2021
180178,1846.72,1846.72,191119,2021,DAVIVIENDA,Propia,Incumplimiento de Pago Sin Confirmar,PUBLICO,MASC,ALAJUELA,357.5,390.0,39,Si,0
180217,1063.78,522.18,191158,2021,CREDIX,Propia,Incumplimiento de Pago Cumplido,PRIVADO,MASC,CARTAGO,2665.0,2697.5,26,Si,2021
180289,1253.88,1171.25,191231,2021,SCOTIABANK,Propia,Incumplimiento de Pago Cumplido,PUBLICO,FEM,PUNTARENAS,0.0,32.5,40,Si,2021
180290,1346.77,1346.77,191232,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,130.0,162.5,41,Si,2021
180296,1148.53,1089.02,191238,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,GUANACASTE,682.5,715.0,32,Si,2021
180301,2332.45,2332.45,191243,2021,CREDIX,Propia,Contacto sin Promesa,PRIVADO,FEM,ALAJUELA,780.0,812.5,36,Si,2018
180327,1943.56,1943.56,191270,2021,A-PROMERICA,Propia,Contacto sin Promesa,PRIVADO,MASC,SAN JOSE,585.0,617.5,28,Si,2016
180333,1319.63,1319.63,191276,2020,SERVIVALORES,Propia,Firma finiquito,PUBLICO,FEM,CARTAGO,910.0,942.5,57,Si,0
180334,1381.3,1085.78,191277,2018,A-PROMERICA,Propia,Firma finiquito,PUBLICO,MASC,SAN JOSE,1040.0,1072.5,31,Si,2017
180357,1704.62,1704.62,191300,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,PUNTARENAS,520.0,552.5,60,Si,2021
180360,1230.15,163.89,191303,2018,A-PROMERICA,Propia,Firma finiquito,PRIVADO,FEM,SAN JOSE,780.0,812.5,64,Si,2015
180372,3973.8,3775.02,191315,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,GUANACASTE,2600.0,2632.5,30,Si,2021
180390,167.3,167.3,191334,2020,A-PROMERICA,Propia,Firma finiquito,PRIVADO,MASC,ALAJUELA,325.0,357.5,49,Si,0
180394,989.19,963.3,191338,2021,CITI,Propia,Promesa de Pago,PRIVADO,FEM,GUANACASTE,780.0,812.5,62,Si,2021
180413,2979.3,1658.35,191358,2021,A-PROMERICA,Propia,Firma finiquito,PUBLICO,MASC,SAN JOSE,910.0,942.5,48,Si,0
180416,3752.4,3752.4,191361,2021,A-PROMERICA,Propia,Embargo aplicado,PRIVADO,MASC,SAN JOSE,195.0,227.5,57,Si,2018
180442,1934.78,1934.78,191388,2021,SERVIVALORES,Propia,Promesa de Pago,PROPIO,MASC,PUNTARENAS,162.5,195.0,71,Si,2021
180474,1359.69,1182.8,191420,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,ALAJUELA,260.0,292.5,29,Si,2021
180517,6645.26,5790.34,191467,2020,A-PROMERICA,Propia,Firma finiquito,PRIVADO,FEM,SAN JOSE,97.5,130.0,54,Si,2012
180528,887.89,887.89,191479,2021,SCOTIABANK,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,HEREDIA,520.0,552.5,26,Si,2021
180574,6067.94,6067.94,191527,2021,SERVIVALORES,Propia,Promesa de Pago Confirmada,PUBLICO,MASC,SAN JOSE,3055.0,3087.5,71,Si,2021
180575,1029.87,1029.87,191530,2021,CREDIX,Propia,Promesa de Pago,PROPIO,FEM,SAN JOSE,357.5,390.0,35,Si,2021
180579,950.78,950.78,191534,2021,A-PROMERICA,Propia,Embargo enviado,PRIVADO,FEM,SAN JOSE,65.0,97.5,31,Si,0
180593,26350.56,26350.56,191549,2021,A-PROMERICA,Propia,Incumplimiento de Pago Cumplido,PROPIO,FEM,SAN JOSE,1852.5,1885.0,45,Si,2021
180597,2067.37,2067.37,191553,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,552.5,585.0,30,Si,2021
180610,1981.41,1981.41,191566,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,617.5,650.0,28,Si,2021
180643,1029.08,1029.08,191599,2018,LAFISE,Propia,Firma finiquito,PRIVADO,MASC,SAN JOSE,422.5,455.0,50,Si,2016
180649,2263.78,2263.78,191605,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,260.0,292.5,42,Si,2021
180662,950.34,950.34,191619,2021,CITI,Propia,Incumplimiento de Pago Sin Confirmar,PUBLICO,FEM,HEREDIA,162.5,195.0,59,Si,0
180694,1186.66,1186.66,191651,2021,A-PROMERICA,Propia,Incumplimiento de Pago Confirmado,PUBLICO,MASC,ALAJUELA,1170.0,1202.5,75,Si,2021
180695,1009.99,1009.99,191652,2021,A-PROMERICA,Propia,Incumplimiento de Pago Confirmado,PRIVADO,MASC,HEREDIA,357.5,390.0,24,Si,2021
180713,1024.92,1024.92,191670,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,ALAJUELA,325.0,357.5,26,Si,2021
180719,1261.71,1261.71,191677,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,390.0,422.5,38,Si,2021
180769,3203.92,3203.92,191728,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,ALAJUELA,455.0,487.5,36,Si,2021
180771,688.17,678.44,191730,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,ALAJUELA,487.5,520.0,33,Si,2021
180781,724.73,724.73,191740,2021,CITI,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,CARTAGO,65.0,97.5,44,Si,2021
180787,3698.53,3584.43,191746,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,ALAJUELA,325.0,357.5,54,Si,2021
180791,3784.12,3784.12,191750,2021,SCOTIABANK,Propia,Promesa de Pago,PUBLICO,FEM,ALAJUELA,845.0,877.5,70,Si,2021
180840,1082.57,1082.57,191800,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,CARTAGO,227.5,260.0,39,Si,0
180853,3338.72,3338.72,191814,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,CARTAGO,585.0,617.5,51,Si,2019
180860,3860.75,3860.75,191821,2021,DAVIVIENDA,Propia,Incumplimiento de Pago Sin Confirmar,PROPIO,MASC,CARTAGO,390.0,422.5,44,Si,2021
180875,1310.34,1310.34,191837,2021,CREDIX,Propia,Promesa de Pago,PRIVADO,MASC,PUNTARENAS,487.5,520.0,33,Si,2021
180880,227.51,227.51,191842,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,227.5,260.0,59,Si,2021
180894,5703.03,5703.03,191856,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,585.0,617.5,46,Si,2021
180897,986.29,986.29,191859,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,SAN JOSE,422.5,455.0,30,Si,2021
180935,1341.05,1341.05,191897,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,520.0,552.5,29,Si,0
180959,2083.98,1486.24,191921,2021,SCOTIABANK,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,1235.0,1267.5,47,Si,2021
180991,1199.84,1199.84,191954,2021,DAVIVIENDA,Propia,Promesa de Pago,PRIVADO,FEM,CARTAGO,845.0,877.5,42,Si,2021
181003,996.27,373.14,191966,2018,A-PROMERICA,Propia,Firma finiquito,PUBLICO,MASC,SAN JOSE,975.0,1007.5,53,Si,2016
181004,3626.25,831.46,191967,2020,A-PROMERICA,Propia,Firma finiquito,PUBLICO,FEM,SAN JOSE,780.0,812.5,40,Si,0
181011,518.25,490.7,191975,2021,CREDIX,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,HEREDIA,422.5,455.0,37,Si,2020
181029,410.19,113.31,191994,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,260.0,292.5,35,Si,0
181066,678.19,678.19,192032,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,162.5,195.0,47,Si,2021
181079,2620.66,2620.66,192045,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,CARTAGO,325.0,357.5,48,Si,2021
181082,893.75,893.75,192048,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,FEM,HEREDIA,292.5,325.0,44,Si,2021
181091,361.72,355.59,192057,2021,CREDIX,Propia,Promesa de Pago,PROPIO,MASC,CARTAGO,390.0,422.5,57,Si,2021
181092,7086.8,7086.8,192058,2021,A-PROMERICA,Propia,Promesa de Pago,PUBLICO,FEM,HEREDIA,1235.0,1267.5,41,Si,2021
181093,8134.71,8134.71,192059,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,845.0,877.5,29,Si,2021
181094,744.91,744.91,192060,2021,SCOTIABANK,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,GUANACASTE,487.5,520.0,39,Si,2021
181110,4131.48,4131.48,192077,2021,SCOTIABANK,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,325.0,357.5,53,Si,2021
181153,1499.52,1499.52,192122,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PROPIO,MASC,SAN JOSE,487.5,520.0,47,Si,2021
181167,1302.93,1302.93,192136,2021,SCOTIABANK,Propia,Incumplimiento de Pago Sin Confirmar,PROPIO,MASC,SAN JOSE,357.5,390.0,55,Si,2019
181188,1241.74,1241.74,192157,2021,A-PROMERICA,Propia,Incumplimiento de Pago Confirmado,PROPIO,FEM,ALAJUELA,260.0,292.5,26,Si,2021
181189,2783.21,1981.11,192158,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,32.5,65.0,52,Si,2021
181190,1105.07,1017.96,192159,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PROPIO,MASC,ALAJUELA,455.0,487.5,48,Si,2021
181191,547.34,547.34,192160,2021,CITI,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,195.0,227.5,35,Si,2021
181195,1343.09,1343.09,192164,2021,A-PROMERICA,Propia,Incumplimiento de Pago Cumplido,PRIVADO,MASC,SAN JOSE,390.0,422.5,44,Si,2021
181198,486.37,64.58,192167,2021,A-PROMERICA,Propia,Firma finiquito,PRIVADO,MASC,CARTAGO,422.5,455.0,35,Si,0
181202,1339.44,1339.44,192171,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PROPIO,MASC,ALAJUELA,357.5,390.0,29,Si,2021
181229,27415.72,27415.72,192198,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,4907.5,4940.0,55,Si,2021
181250,883.66,883.66,192220,2021,A-PROMERICA,Propia,Incumplimiento de Pago Confirmado,PRIVADO,MASC,SAN JOSE,682.5,715.0,30,Si,2021
181251,1152.26,1152.26,192221,2021,CITI,Propia,Incumplimiento de Pago Confirmado,PRIVADO,MASC,SAN JOSE,617.5,650.0,35,Si,0
181261,821.0,821.0,192231,2021,A-PROMERICA,Propia,Incumplimiento de Pago Confirmado,PRIVADO,MASC,CARTAGO,487.5,520.0,31,Si,2020
181274,2630.34,2630.34,192244,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,HEREDIA,617.5,650.0,67,Si,2021
181281,481.48,481.48,192251,2021,A-PROMERICA,Propia,Promesa de Pago,PROPIO,MASC,SAN JOSE,455.0,487.5,30,Si,0
181282,4026.32,4026.32,192252,2020,A-PROMERICA,Propia,Firma finiquito,PRIVADO,MASC,SAN JOSE,1560.0,1592.5,47,Si,2010
181305,866.93,866.93,192276,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,227.5,260.0,29,Si,2021
181306,1666.99,1666.99,192277,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,LIMON,650.0,682.5,39,Si,2021
181317,199.91,199.91,192288,2018,SERVIVALORES,Propia,Firma finiquito,PRIVADO,MASC,SAN JOSE,292.5,325.0,42,Si,0
181325,641.12,641.12,192296,2021,A-PROMERICA,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,FEM,SAN JOSE,390.0,422.5,26,Si,2021
181327,270.59,270.59,192298,2021,CITI,Propia,Incumplimiento de Pago Sin Confirmar,PROPIO,MASC,CARTAGO,357.5,390.0,42,Si,0
181344,277.95,277.95,192315,2021,SERVIVALORES,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,CARTAGO,227.5,260.0,35,Si,2021
181366,2302.7,2302.7,192338,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,ALAJUELA,520.0,552.5,32,Si,2021
181377,1163.22,1163.22,192349,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,FEM,HEREDIA,162.5,195.0,37,Si,2021
181379,447.12,447.12,192351,2021,CREDIX,Propia,Incumplimiento de Pago Sin Confirmar,PRIVADO,MASC,CARTAGO,455.0,487.5,50,Si,0
181393,3187.24,2232.54,192365,2021,A-PROMERICA,Propia,Contacto sin Promesa,PUBLICO,FEM,CARTAGO,650.0,682.5,42,Si,0
181424,3005.2,3005.2,192396,2021,A-PROMERICA,Propia,Promesa de Pago,PRIVADO,MASC,SAN JOSE,390.0,422.5,37,Si,2021
181493,1720.64,1720.64,192467,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,SAN JOSE,260.0,292.5,27,Si,2021
181497,881.32,881.32,192472,2021,CITI,Propia,Promesa de Pago,PROPIO,MASC,SAN JOSE,747.5,780.0,56,Si,2021
181501,1041.28,1041.28,192476,2021,A-PROMERICA,Propia,Contacto sin Promesa,PUBLICO,MASC,CARTAGO,455.0,487.5,26,Si,0
181505,4414.04,4414.04,192480,2021,DANISSA,Propia,Vehículo Capturado,PRIVADO,MASC,SAN JOSE,910.0,942.5,38,Si,0
181509,995.74,610.23,192484,2018,A-PROMERICA,Propia,Firma finiquito,PRIVADO,MASC,ALAJUELA,487.5,520.0,48,Si,2016
181528,3070.48,2036.16,192504,2021,CREDIQ,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,CARTAGO,292.5,325.0,60,Si,2021
181587,932.26,932.26,192563,2021,CITI,Propia,Promesa de Pago,PRIVADO,MASC,GUANACASTE,325.0,357.5,36,Si,2021
181624,4328.34,4328.34,192602,2021,SCOTIABANK,Propia,Promesa de Pago Confirmada,PRIVADO,FEM,HEREDIA,845.0,877.5,38,Si,2021
181657,2022.96,2022.96,192635,2021,A-PROMERICA,Propia,Promesa de Pago Confirmada,PRIVADO,MASC,ALAJUELA,3055.0,3087.5,28,Si,2021
